reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,227620;107652,0.0,-1.4779288903810084e-12
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,100043686;109959;100043688;11722;17254;30962;20532;100043684,0.0,-6.201100239360874e-13
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,-1.5916157281026244e-12
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;72090;215446;12495,0.0,-8.526512829121202e-13
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,-1.7053025658242404e-12
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;12934;64705,453.476554806741,453.4765548066093
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15108;74147;15488;15107,3.5967077198023204e-12,-4.288125410312205e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,-2.2737367544323206e-12
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,100.00000000002001,100.0
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171282;12012;70025;171210;171281;217700,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,230718;107569;23959;76952;70881;50773,0.0,-1.4949819160392508e-11
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,110639;19139,900.0000000002748,899.9999999999603
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,56012;12183;18648,0.0,-2.2737367544323206e-12
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,100043686;109959;100043688;11722;17254;30962;20532;100043684,0.0,-1.991962150782456e-12
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,15450;12613;18946;231871;16891;69060;66853;18947;116939;269060;67717;16890;67758,0.0,-1.3415046851150692e-11
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,-9.094947017729282e-13
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,78894;60525,0.0,-2.3874235921539366e-12
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-99.99999999999795,-100.00000000000159
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,817.0815174287447
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,"Transport, lysosomal",,0.0,1000.0
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,14661,-1000.0,317.08151742876305
C4DCCACT,Transport of succinyl carnitine into cytosol,Fatty acid oxidation,57279,0.0,0.0
R00100,R01803,,12764,-500.0,-500.0000000000064
EX_aracheth_e,Exchange of O-Arachidonoyl Ethanolamine,Exchange/demand reaction,,0.0,-1.0032863428932615e-11
HMR_2964,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,216739;26458;433256;50790;74205;94180;328845;14081,0.0,-1.7053025658242404e-12
GLUDC,Glutamate Decarboxylase,Glutamate metabolism,14415;14417,0.0,0.0
ACOADH120_m,Acyl-CoA dehydrogenase (12:0),Fatty acid oxidation,11370;11364;11363;229211,0.0,-1.0345502232667059e-11
HMR_0389,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,216739;26458;433256;50790;74205;94180;328845;14081,0.0,-2.2737367544323206e-12
CHSTEROLt1,Cholesterol intracellular transport,"Transport, mitochondrial",59045,-1000.0,1000.0
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD,Folate metabolism,665563;17768,-1000.0,788.927791456008
OCT11EFATP_1,Uptake of Vaccenic Acid,Fatty acid oxidation,26457;225579;26568;26458;26569;26459,0.0,-2.7284841053187847e-12
RE3113C,RE3113,Fatty acid oxidation,,0.0,-4.547473508864641e-12
HMR_2673,HMR 2673,"Transport, mitochondrial",214663;236293;236149;30805;207151;20517;57279;171405;434674;319800,-1000.0,1000.0
HMR_2193,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,Fatty acid synthesis,70757;30963;66775;67044;57874,0.0,-4.774847184307873e-12
LDH_Lm,"L-lactate dehydrogenase, mitochondria",Pyruvate metabolism,52815;16832;16828,278.53825356402854,342.1432161851479
PPMI12346Ptn,5-diphosphatidylinositol pentakisphosphate nuclear transport (diffusion),"Transport, nuclear",,0.0,0.0
NABTNO,N4 AcetylaminobutanalNAD oxidoreductase,Arginine and proline metabolism,110695;11671;11668;19378;56752,0.0,0.0
UMPK5n,"UMP kinase (dATP),nuclear",Nucleotide interconversion,66588,-1000.0,1000.0
HMR_2884,HMR 2884,"Transport, endoplasmic reticular",20520,1.5916157281026244e-12,-2.0463630789890885e-12
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,Aminosugar metabolism,12764,0.0,0.0
r2113,Major Facilitator(MFS) TCDB:2.A.1.13.1,"Transport, extracellular",20501,-1000.0,1000.0
HOXG,Heme oxygenase 1,Heme degradation,15368;15369,0.0,-5.968558980384842e-13
HMR_0629,Phospholipase D,Glycerophospholipid metabolism,18805;104759;18806;18807;194908,0.0,-9.094947017729282e-13
GALASE20ly,"Beta-galactosidase, lysosomal",Keratan sulfate degradation,50917;12091;19025;18010,0.0,0.0
HMR_3072,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15488;74147,0.0,0.0
PCHOLN201_HSABCt,"Transport of 1-Eicosenoylglycerophosphocholine (Delta 11) , Sn1-Lpc (20:1)","Transport, extracellular",11982;54670;11303;18670;54667,0.0,0.0
HSD17B4x,Hydroxysteroid (17-beta) dehydrogenase 4,Bile acid synthesis,15488,0.0,0.0
HMR_3235,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,97212;93747,0.0,-2.3732127374387346e-12
ALAPAT4te,Transport of Alanine via Pat4,"Transport, extracellular",234967,-1000.0,1000.0
DATPtn,DATP diffusion in nucleus,"Transport, nuclear",,2.322456283604824,2.3224562836048226
HMR_7758,HMR 7758,"Transport, mitochondrial",13167,3.765876499528531e-12,0.0
r0221_1,Propinol Adenylate:Coa Ligase (AMP-Forming),Miscellaneous,380660;68738;60525,0.0,-2.9558577807620168e-12
HMR_3625,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,-2.2737367544323206e-12
HMR_1242,HMR 1242,"Transport, peroxisomal",,-999.9999999999932,1000.0
HMR_0271,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,216739;26458;433256;50790;74205;94180;328845;14081,0.0,0.0
C226CPT1,Carnitine C22:6 transferase,Fatty acid oxidation,78070;12894;12895,0.0,0.0
r1664,Y+LAT2 Utilized transport,"Transport, extracellular",330836,-1000.0,1000.0
CPK1,Adenylate kinase,Nucleotide interconversion,66588,-1000.0,1000.0
SPTc,Serine-pyruvate aminotransferase,"Glycine, serine, alanine, and threonine metabolism",11611,0.0,0.0
HMR_2700,HMR 2700,"Transport, mitochondrial",214663;236293;236149;30805;207151;20517;57279;171405;434674;319800,4.1590865983662935e-12,0.0
MI4PP,1D-myo-Inositol 4-phosphate phosphohydrolase,Inositol phosphate metabolism,55980;114663,0.0,-1.971756091734278e-12
LDH_L,L-lactate dehydrogenase,Glycolysis/gluconeogenesis,16833;16832;16828;54122;106557,-1000.0,721.4617464359762
PCHOLSTE_HSABCt,Transport of 1-Stearoylglycerophosphocholine,"Transport, extracellular",11982;54670;11303;18670;54667,0.0,0.0
HMR_0298,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171282;12012;70025;171210;171281;217700,0.0,-1.7053025658242404e-12
G5SDym,"Glutamate-5-semialdehyde dehydrogenase, mitochondria",Urea cycle,56454,0.0,-3.069544618483633e-12
HEXA2l,"Hexosaminidase A, Lysosomal",Sphingolipid metabolism,15212;15211,0.0,0.0
MI14PP,"D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase",Inositol phosphate metabolism,16329,0.0,-2.028599510595086e-12
ADNtm,"Equilibrative nucleoside transporter, mitochondrial","Transport, mitochondrial",63959,2.1174173525650986e-12,0.0
