reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,107652;227620,0.0,0.0
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,100043684;100043686;100043688;11722;20532;17254;109959;30962,0.0,0.0
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,0.0
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;72090;215446;12495,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,0.0
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,12934;64705;22240,437.404158069155,437.4041580691536
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15107;15488;15108,9.379164112033322e-12,-2.8421709430404016e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,-9.094947017729282e-13
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,0.0,-1.0231815394945443e-11
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171281;217700;70025;171282;12012;171210,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,76952;23959;107569;70881;50773;230718,0.0,0.0
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,110639;19139,562.5958419308431,562.5958419308308
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,18648;12183;56012,0.0,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,100043684;100043686;100043688;11722;20532;17254;109959;30962,0.0,0.0
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,12613;18946;16891;18947;231871;67717;269060;67758;69060;15450;66853;116939;16890,0.0,-2.0463630789890885e-12
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,0.0
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,0.0
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,78894;60525,0.0,0.0
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-100.0,-99.99999999999972
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,999.9999999999983
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,"Transport, lysosomal",,0.0,1000.0
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,14661,-1000.0,594.0395896348502
C4DCCACT,Transport of succinyl carnitine into cytosol,Fatty acid oxidation,57279,0.0,0.0
R00100,R01803,,12764,-500.0,-500.00000000009516
EX_aracheth_e,Exchange of O-Arachidonoyl Ethanolamine,Exchange/demand reaction,,0.0,-3.126388037344441e-12
HMR_2964,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,14081;50790;328845;433256;216739;74205;94180;26458,0.0,0.0
GLUDC,Glutamate Decarboxylase,Glutamate metabolism,14417;14415,0.0,0.0
ACOADH120_m,Acyl-CoA dehydrogenase (12:0),Fatty acid oxidation,11363;229211;11364;11370,0.0,6.480149750132114e-12
HMR_0389,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,14081;50790;328845;433256;216739;74205;94180;26458,0.0,0.0
CHSTEROLt1,Cholesterol intracellular transport,"Transport, mitochondrial",59045,-1000.0,1000.0
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD,Folate metabolism,17768;665563,-1000.0,1000.0
OCT11EFATP_1,Uptake of Vaccenic Acid,Fatty acid oxidation,26459;225579;26568;26569;26457;26458,0.0,0.0
RE3113C,RE3113,Fatty acid oxidation,,0.0,0.0
HMR_2673,HMR 2673,"Transport, mitochondrial",236149;214663;236293;171405;207151;434674;319800;57279;30805;20517,-1000.0,1000.0
