reaction_id,reaction_name,subsystem,genes,minimum,maximum
PCHOLN183_HSABCt,"Transport of 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)","Transport, extracellular",54667;11982;54670;11303;18670,0.0,9.094947017729282e-13
HMR_2985,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.1368683772161603e-12
HMR_3716,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,2.1600499167107046e-12
EX_cyan_e,Hydrogen cyanide exchange,Exchange/demand reaction,,-6.889422365929931e-11,0.0
HMR_0188,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.1368683772161603e-12
HPYRDCm,"Hydroxypyruvate decarboxylase, mitochondria",Glyoxylate and dicarboxylate metabolism,,0.0,4.458365082051617e-12
DEOXFVShc,Formation of deoxy-fluvastatin-dinor,Drug metabolism,11430;74147;15488;235674,99.9999999999942,100.0
IMPC,IMP cyclohydrolase,Purine synthesis,108147,-2.1799451133119875e-12,0.0
HPDECECOAm,Dehydrogenation of Heptadecanoyl Coa,Fatty acid oxidation,11363,0.0,1.0231815394945443e-12
PCHOLOLE_HSPLA2,Formation of 1-Oleoylglycerophosphocholine (Delta 9) by Phospholipase A2,Glycerophospholipid metabolism,66350;237625;329502;53357;18780;18783;18784;211429;26971,0.0,1.1368683772161603e-12
3HCO3_NAt,Bicarbonate transport (Na/HCO3 1:3 cotransport),"Transport, extracellular",232156;54403,-1000.0,1000.0
PHPYRte,Transport of Phenylpyruvate via Proton Symport,"Transport, extracellular",20501;80879;20503,99.99999999997934,100.0
RE1522M,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,93747;74147;97212;231086,0.0,2.9013828376870756e-12
EX_M00234_e,EX M00234[e],Exchange/demand reaction,,-1.6768808563938364e-11,0.0
HMR_2705,Carnitine O-Palmitoyltransferase,Fatty acid oxidation,12894;12895;78070,0.0,3.183231456205249e-12
APNPT,ATP:pantetheine 4'-phosphotransferase,CoA synthesis,74450;75735;211347;269614,0.0,1.5347723092418164e-12
CERT1rt,Ceramide transport protein,"Transport, endoplasmic reticular",68018,0.0,0.0
AKGDm,2-oxoglutarate dehydrogenase,Citric acid cycle,78920;13382;18293;27402,889.4473112559695,889.4473112560772
PGESc,Prostaglandin E synthase,Eicosanoid metabolism,96979;56351;64292,0.0,1000.0
PCHOL2STE_HSPLA2,Formation of 2-Stearoylglycerophosphocholine by Phospholipase A2,Glycerophospholipid metabolism,66350;237625;329502;53357;18780;18783;18784;211429;26971,0.0,1.5916157281026244e-12
SMPD3g,"Sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)",Sphingolipid metabolism,238011;77626;58994,0.0,1.3642420526593924e-12
RE3228C,RE3228,Fatty acid synthesis,,0.0,3.069544618483633e-12
TRYPTAOX,Tryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism,17161;109731;237940;76507,0.0,1.8758328224066645e-12
RE2649M,Palmitoyl Coenzyme A Hydrolase,Bile acid synthesis,171210;70025,0.0,1.8189894035458565e-12
GLNS,Glutamine synthetase,Glutamate metabolism,14645;266744,0.0,0.0
PA_HStn,"Phosphatidate transport, nuclear","Transport, nuclear",,-4.073186232744774e-12,0.0
HMR_2215,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,Fatty acid synthesis,170439;74559;12686;54325;54326;68801;83603,0.0,0.0
HPDECEm,Hydrolysis of Heptadecenoyl Coa,Fatty acid oxidation,171210;70025;170789;66834,0.0,9.094947017729282e-13
r0750,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase Bile acid biosynthesis EC:1.1.1.50",Bile acid synthesis,83702,0.0,1000.0
ADMDC,Adenosylmethionine decarboxylase,Arginine and proline metabolism,100041585;11702,0.0,0.0
HMR_0290,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;12012;70025;171281;171282,0.0,4.547473508864641e-12
HMR_2621,HMR 2621,"Transport, mitochondrial",319800;30805;20517;57279;171405;236149;236293;214663;207151;434674,-6.208602193470748e-12,1.0231815394945443e-12
HMR_2989,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,2.0463630789890885e-12
GUACYC,Guanylate cyclase,Nucleotide interconversion,230103;60596;18160;54195;234889;245650;14917;14919,0.0,2.0383694732117874e-12
PEAR_HSABCt,Transport of 1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine,"Transport, extracellular",50770;320940,0.0,9.663381206337363e-13
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,Arginine and proline metabolism,,0.0,0.0
GK1,Guanylate kinase (GMP:ATP),Nucleotide interconversion,14923,7.881021093133983,7.881021093163221
HMR_8476,HMR 8476,"Transport, nuclear",13340;63959,-297.5525557158654,702.4474442845684
RE3120C,RE3120,Fatty acid oxidation,83603;170439;68801;54326,-4.007461029686965e-12,1.8189894035458565e-12
PGL,6-phosphogluconolactonase,Pentose phosphate pathway,66171,0.0,7.034373084024992e-12
DM_pcreat_c,"Demand for  Phosphocreatine,  Cytosolic",Exchange/demand reaction,,0.0,2.0463630789890885e-12
GASNASE2ly,"Glycosylasparaginase, lysosomal",N-glycan degradation,11593,0.0,0.0
EX_didecaeth_e,"Exchange of C12:0-Ethanolamide, Didecanoyl Ethanolamide",Exchange/demand reaction,,0.0,1.5234036254696548e-11
HMR_3670,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,2.3874235921539366e-12
RE3241C,RE3241,Fatty acid synthesis,83603;170439;68801;54326,0.0,3.979039320256561e-12
RE2999M,Dodecenoyl Coenzyme A Isomerase,Fatty acid oxidation,23986;13177;74147,0.0,1.3585577107733116e-11
PNTK,Pantothenate kinase,CoA synthesis,74450;75735;211347;269614,0.0,0.0
HMR_0814,"Alpha-N-Acetylneuraminate Alpha-2, 8-Sialyltransferase",Glycosphingolipid metabolism,20449,-3.4412997270287507e-12,0.0
RE3178M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,231086;15488;15107;74147;15108;97212,0.0,1.2428818761973025e-12
r2225,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5,"Transport, extracellular",101488,0.0,1000.0
PHYHx,"Phytanoyl-CoA dioxygenase, peroxisomal",Fatty acid oxidation,16922,0.0,9.306905528735686e-13
GARFT,Phosphoribosylglycinamide formyltransferase,Purine synthesis,14450,0.0,0.0
r2093,Major Facilitator(MFS) TCDB:2.A.1.13.1,"Transport, extracellular",20501,-1000.0,1000.0
HMR_8579,Alpha-Amylase,Starch and sucrose metabolism,11722;100043684;100043686;109959;100043688,99.99999999999113,100.0
THYOXt2,T4 transport via facilitated diffusion,"Transport, extracellular",20502,-1000.0,1000.0
GLYOXm,Hydroxyacylglutathione hydrolase  mitochondrial,Pyruvate metabolism,14651,0.0,6.59383658785373e-12
ACNAMlt,N-acetylneuraminate transport into lysososme,"Transport, lysosomal",235504,0.0,8.753886504564434e-12
RE3168C,RE3168,Fatty acid oxidation,,0.0,5.440496538126768e-12
PPM,Phosphopentomutase,Pentose phosphate pathway,66681;72157,890.3557470877807,890.3557470878329
PCHOLMYR_HsABCt,Transport of 1-Myristoylglycerophosphocholine,"Transport, extracellular",54667;11982;54670;11303;18670,0.0,9.663381206337363e-13
PI3P4K,Phosphatidylinositol 3-phosphate 4-kinase,Inositol phosphate metabolism,84095;18719;18720;224020;107650;18717,0.0,0.0
HMR_3651,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,2.1600499167107046e-12
EX_hepdeceth_e,Exchange of Heptadecanoyl Thanolamide (C17:0),Exchange/demand reaction,,0.0,1.659827830735594e-11
HMR_2263,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,Fatty acid synthesis,170439;74559;12686;54325;54326;68801;83603,0.0,3.6218892219089407e-12
r1150,Facilitated diffusion,"Transport, lysosomal",,0.0,2.5011104298755527e-12
NDPK3m,"ATP:CDP phosphotransferase, mitochondria",Nucleotide interconversion,54369;56520,0.0,7.503331289626658e-12
FAOXC164C165x,"Fatty Acid Beta Oxidation (C16:4->C16:5), Peroxisomal",Fatty acid oxidation,11430,0.0,3.2081004519568523e-12
HMR_2264,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,Fatty acid synthesis,56348,0.0,3.8718167018375345e-12
HMR_3627,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,2.6716406864579767e-12
PCHOLN1836_HSABCt,"Transport of 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)","Transport, extracellular",54667;11982;54670;11303;18670,0.0,1.0231815394945443e-12
RE3169C,RE3169,Fatty acid oxidation,,-1.0771827874123119e-11,1.7656040857306445e-12
BUTt,Butyrate transport (diffusion),"Transport, extracellular",225579;14077;14080;12140;26457;11770;16592;16204;12491;26568;26569;75497;21884,-1000.0,1000.0
HSD3A2r,3 alpha-hydroxysteroid dehydrogenase (type 3),Steroid metabolism,83702,-1000.0,1000.0
NAt5,Sodium/ammonium proton antiporter,"Transport, extracellular",105243;226999;20544,-1000.0,1000.0
HMR_3205,Acetyl Coenzyme A C-Acyltransferase,Fatty acid oxidation,97212;52538;231086,0.0,2.4036645689713103e-12
PGDI,Prostaglandin-H2 D-isomerase [Precursor],Eicosanoid metabolism,19215;54486,-1000.0,1000.0
GALASE18ly,"Beta-galactosidase, lysosomal",Keratan sulfate degradation,19025;50917;12091;18010,0.0,0.0
EX_strch1_e,"Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange",Exchange/demand reaction,,0.0,0.0
R01115,R01115,Aminosugar metabolism,12764,0.0,2.010670699704395e-12
3MOX4HOXPGALDOX_NADP,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,56847;67689;11670;73458;621603,0.0,4.774847184307873e-12
HMR_3664,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.5290879673557356e-11
HMR_2348,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,Fatty acid synthesis,56348,-3.581135388230905e-12,0.0
HMR_2622,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12908;12896,-5.7885652161729165e-12,0.0
MI1345PP,"D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase",Inositol phosphate metabolism,104015;16332;16330;170835;64436;16331;212111,0.0,1.5631940186722204e-12
r0220_1,Propinol Adenylate:Coa Ligase (AMP-Forming) Ec:6.2.1.17 Ec:6.2.1.1,Miscellaneous,380660;60525;68738,0.0,1.5774048733874224e-12
ADRNCRNt,Transport into the mitochondria (carnitine),Fatty acid oxidation,57279,-1000.0,1000.0
RE3103C,RE3103,Fatty acid oxidation,83603;170439;68801;54326,0.0,3.617861224730593e-12
RE2998M,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430,0.0,2.000888343900442e-11
BILIRED2,Nadh biliverdin reductase,Heme synthesis,109778;233016,0.0,0.0
r0541,"Glutaryl Coenzyme A: (Acceptor) 2, 3-Oxidoreductase (Decarboxylating)",Tryptophan metabolism,270076,0.0,8.252573245015809e-13
GLCNACT3g,Alpha-N-acetylglucosaminyltransferase II,Chondroitin synthesis,54616;14043;56219;14042,0.0,0.0
HMR_2364,Very-Long-Chain Enoyl Coenzyme A Reductase,Fatty acid synthesis,243078;106529,0.0,2.6592332514400803e-12
ST6GALNAC31_1,"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 3",Sphingolipid metabolism,20447;26938;50935,0.0,0.0
CHOLK,Choline kinase,Glycerophospholipid metabolism,12660;12651,0.0,1.8189894035458565e-12
HMR_3704,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,1.4779288903810084e-12
SPHS1Ptr,Sphingosine-1-phosphate transport,"Transport, endoplasmic reticular",,0.0,1.5916157281026244e-12
HMR_3425,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,231086;15107;15108;97212;229211;235674;11370;93747;11364;11363;52538,0.0,2.4868995751603507e-12
HMR_3696,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,2.5011104298755527e-12
EBP1r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,1.864286502950563e-12
PEPALM_HSASBCt,Transport of 1-Palmitoylglycerophosphocholine,"Transport, extracellular",54667;11982;54670;11303;18670,0.0,1.1368683772161603e-12
HMR_0428,HMR 0428,"Transport, extracellular",225579;14077;14080;12140;26457;11770;16592;16204;12491;26568;26569;75497;21884,0.0,2.2737367544323206e-12
HMR_0824,"Lactosylceramide Alpha-2, 3-Sialyltransferase",Glycosphingolipid metabolism,20454,0.0,0.0
r1448,Acyl-CoA Oxidase,Fatty acid oxidation,80911;11430,0.0,9.598126217902137e-12
r1253,Long-Chain-Fatty-Acid---Coa Ligase,Fatty acid oxidation,328845;74205;433256;50790;216739;14081;26458,0.0,2.320345243806363e-12
RE2626M,RE2626M,Bile acid synthesis,104086,0.0,1000.0
TPI,Triose-phosphate isomerase,Glycolysis/gluconeogenesis,21991,231.11486972755156,231.11486972757328
HMR_3694,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,1.8189894035458565e-12
HMR_2261,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,Fatty acid synthesis,67044;30963;70757;66775;57874,0.0,4.774847184307873e-12
CPPPGO,Coproporphyrinogen oxidase (O2 required),Heme synthesis,12892,0.0,0.0
HMR_0192,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,2.0463630789890885e-12
HMR_0847,Exo-Alpha-Sialidase,Glycosphingolipid metabolism,18010;241159;23956;50877,0.0,0.0
HMR_2689,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12908;12896,-1.8697660419849476e-12,3.410605131648481e-12
HMR_0305,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.8189894035458565e-12
HMR_0245,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,2.0463630789890885e-12
PAPStg,3'-Phosphoadenylyl sufate Golgi transport,"Transport, golgi apparatus",73836,0.0,9.266589096628654e-13
S6T2g,"Galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus",Keratan sulfate synthesis,54371;26887;56773,0.0,0.0
OCTAt,Octanoate transport via diffusion,"Transport, extracellular",,0.0,1.9326762412674725e-12
HMR_9803,3-Oxopropionyl Coenzyme A:NAD+ Oxidoreductase,Propanoate metabolism,,0.0,4.092726157978177e-12
G14T21g,"Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi",Keratan sulfate synthesis,14595;57370;53418;56336,0.0,0.0
PE161_HSABCt,"Transport of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)","Transport, extracellular",50770;320940,0.0,1.2505552149377763e-12
r2520,Mitochondrial Carrier (MC) TCDB:2.A.29.2.1,"Transport, mitochondrial",67863,-1000.0,1000.0
HMR_0244,HMR 0244,"Transport, extracellular",225579;14077;14080;12140;26457;11770;16592;16204;12491;26568;26569;75497;21884,0.0,0.0
r0443,Palmitoyl-CoA:L-carnitine O-palmitoyltransferase Fatty acid metabolism EC:2.3.1.21,Fatty acid oxidation,12894;12896,0.0,1000.0
NDP7er,"Nucleoside-diphosphatase (UDP), endoplasmic reticulum",Nucleotide interconversion,67464;12499;100862375;76025,0.0,1.2505552149377763e-12
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine synthesis,69719,0.0,0.0
HMR_2857,HMR 2857,"Transport, endoplasmic reticular",20520,0.0,1.3642420526593924e-12
RE3247M,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430,0.0,1.1368683772161603e-12
PCHOLEIC_HSABCt,"Transport of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)","Transport, extracellular",54667;11982;54670;11303;18670,0.0,1.0231815394945443e-12
DUTCP,DUTP:cytidine 5'-phosphotransferase,Nucleotide interconversion,80914;22245,-1000.0,-99.99999999999861
FAOXC184C164x,"Fatty Acid Beta Oxidation (C18:4->C16:4), Peroxisomal",Fatty acid oxidation,11430;74147;15488;235674,0.0,2.1032064978498966e-12
FVStu,Uptake of fluvastatin by enterocytes,Drug metabolism,101488,-900.0000000000057,1000.0
PROPAT4te,Transport of Proline via Pat4,"Transport, extracellular",234967,-1000.0,1000.0
r1167,EC:2.3.1.26,Miscellaneous,20652;223920,0.0,1000.0
HMR_3662,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.5916157281026244e-12
HMR_3686,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,1.8189894035458565e-12
HMR_0209,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.8189894035458565e-12
HMR_3680,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.8189894035458565e-12
FAOXC164C143x,"Fatty Acid Beta Oxidation (C16:4->C14:3), Peroxisomal",Fatty acid oxidation,74147;15488;235674,0.0,2.279657943896988e-12
EICOSTETCPT1,Carnitine O-palmitoyltransferase,Fatty acid oxidation,12894;12895;78070,0.0,3.637978807091713e-12
HMR_3647,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.8189894035458565e-12
HMR_1665,Cholate Coenzyme A Ligase,"Transport, peroxisomal",26459;26458,-3.751665644813329e-12,1.1368683772161603e-12
IND3ACt,Transport of Indole-3-Acetate,"Transport, extracellular",,0.0,1.7053025658242404e-12
BILIRUBt2,Bilirubin transport via bicarbonate countertransport,"Transport, extracellular",101488,0.0,0.0
HMR_0306,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;12012;70025;171281;171282,0.0,1.8189894035458565e-12
HMR_0382,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;12012;70025;171281;171282,0.0,1.8189894035458565e-12
C12DCACOT,Thioesterification of Dodecanedioyl Coenzyme A for Release into Cytosol,Fatty acid oxidation,170789,0.0,1.8189894035458565e-12
HMR_3646,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.8189894035458565e-12
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),Nucleotide interconversion,54369;171567;79059;18102;18103,-1000.0,1000.0
RE3176C,RE3176,Fatty acid oxidation,,0.0,3.865352482534945e-12
RE3628M,Dodecenoyl Coenzyme A Isomerase,Fatty acid oxidation,23986;13177;74147,-4.073778351691241e-12,0.0
PGMT,Phosphoglucomutase,Glycolysis/gluconeogenesis,66681;72157,336.3769352262575,336.37693522627643
CYSO,Cysteine oxidase,Taurine and hypotaurine metabolism,12583,0.0,1.5916157281026244e-12
HMR_0309,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.8189894035458565e-12
ORNt4m,Ornithine mitochondrial transport exchange with citruline,"Transport, mitochondrial",18408;83885,-1000.0,1000.0
HMR_3650,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,20652;223920,0.0,1.8189894035458565e-12
UGALNACtg,UDP-GalNAc Golgi transport via CMP antiport,"Transport, golgi apparatus",22232,-2.0479455451234147e-12,0.0
r0009,Pyrophosphate phosphohydrolase EC:3.6.1.1,Purine catabolism,67895;74776;76429,0.0,1.5916157281026244e-12
LNLNCACRNt,Transport into the mitochondria (carnitine),Fatty acid oxidation,57279,-1000.0,1000.0
HMR_0345,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,328845;216739;14081;26458;74205;433256;94180;50790,0.0,1.3642420526593924e-12
AMACR2p,Alpha-methylacyl-CoA racemase (reductase),Bile acid synthesis,17117,136.7480225556083,136.74802255575997
H2Ot,H2O transport via diffusion,"Transport, extracellular",11833;11826;11827;17339;11829;11830,-1000.0,1000.0
