"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",474.109992665114,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",900,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",365.288783202464,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.32155279400956,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-775.580030041544,"Glycolysis/gluconeogenesis"
"ACONT","Aconitate hydratase",-537.390739741172,"Citric acid cycle"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",4.43052090750268,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",747.8739599715,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",8.10333397681482,"Nucleotide interconversion"
"HMR_8476","HMR 8476",-16.5240705068071,"Transport, nuclear"
"r2093","Major Facilitator(MFS) TCDB:2.A.1.13.1",-2.1212167844008,"Transport, extracellular"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",848.453449817845,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",244.479741030643,"Glycolysis/gluconeogenesis"
"r2520","Mitochondrial Carrier (MC) TCDB:2.A.29.2.1",67.952834690894,"Transport, mitochondrial"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",333.978301120825,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",14.8485174908056,"Bile acid synthesis"
"H2Ot","H2O transport via diffusion",996.920680258207,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"CHOLtu","Choline uniport",30.2805644676591,"Transport, extracellular"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-900,"Fatty acid oxidation"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",37.9674509406901,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",111.326100373608,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"HMR_3116","Enoyl Coenzyme A Hydratase",213.985576408446,"Fatty acid oxidation"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",3.07931974179255,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",2.1212167844008,"Transport, mitochondrial"
"CLS_hs","Cardiolipin synthase (homo sapiens)",2.0529972292015,"Glycerophospholipid metabolism"
"CHAT","Choline O-acetyltransferase",1000,"Glycerophospholipid metabolism"
"r2086","Major Facilitator(MFS) TCDB:2.A.1.13.1",2.1212167844008,"Transport, extracellular"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
"GLPASE1","Glycogen phosphorylase (glygn2 -> dxtrn)",111.326100373608,"Starch and sucrose metabolism"
"GAPD","Glyceraldehyde-3-phosphate dehydrogenase",1000,"Glycolysis/gluconeogenesis"
"CGLYt3_2","Cys-Gly transport in via proton symport",100,"Transport, extracellular"
"D_LACt2","D lactate transport via proton symport",100,"Transport, extracellular"
"PGPPT","Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase",2.56615848549702,"Glycerophospholipid metabolism"
"2HBO","2 HydroxybutyrateNAD oxidoreductase",-2.1212167844008,"Propanoate metabolism"
"RE3273C_1","Phospholipase D",-8.72497407109183,"Phosphatidylinositol phosphate metabolism"
"MTHFDm","Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial",537.390739741172,"Folate metabolism"
"TRDR","Thioredoxin reductase (NADPH)",939.324894606257,"Nucleotide interconversion"
"DURAD","Dihydrouracil dehydrogenase (NADP)",-474.109992665114,"Pyrimidine catabolism"
"PCm","Pyruvate carboxylase",353.384352276024,"Pyruvate metabolism"
"ABTArm","4-aminobutyrate transaminase, reversible (mitochondrial)",-1000,"Glutamate metabolism"
"HMR_3117","3-Hydroxyacyl Coenzyme A Dehydrogenase",213.985576408446,"Fatty acid oxidation"
"CYTK2_1","Adenylate kinase",100,"Nucleotide interconversion"
"MTHFC","Methenyltetrahydrofolate cyclohydrolase",-11.5983407746654,"Folate metabolism"
"FUMm","Fumarase  mitochondrial",646.615647723976,"Citric acid cycle"
"SMS","Sphingomyelin synthase (homo sapiens)",3.07931974179255,"Sphingolipid metabolism"
"FUM","Fumarase",-872.678667738226,"Citric acid cycle"
"ELAIDCPT2","Carnitine transferase",213.985576408446,"Fatty acid oxidation"
"GLCt1","Glucose transport  uniport",-890.608802988868,"Transport, extracellular"
"APAT2rm","3-Aminopropanoate:2-oxoglutarate aminotransferase (m)",474.109992665114,"Beta-Alanine metabolism"
"RE0926E","Alpha-Amylase",-300,"Starch and sucrose metabolism"
"3HPVSTEThc","3HPVSTEThc",100,"Drug metabolism"
"EX_phpyr_e","Exchange of Phenylpyruvate",-4.43052090750268,"Exchange/demand reaction"
