"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",502.755023416877,"Pyrimidine catabolism"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"MTHFD2i","Methylenetetrahydrofolate dehydrogenase  NAD",-455.963528781925,"Folate metabolism"
"LDH_Lm","L-lactate dehydrogenase, mitochondria",704.627609151082,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.2633675314316,"Transport, nuclear"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",724.93999816732,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.90023947195829,"Nucleotide interconversion"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",890.332228954342,"Pentose phosphate pathway"
"BUTt","Butyrate transport (diffusion)",-26.0552288355222,"Transport, extracellular"
"TPI","Triose-phosphate isomerase",260.81564328418,"Glycolysis/gluconeogenesis"
"r2520","Mitochondrial Carrier (MC) TCDB:2.A.29.2.1",711.918285104463,"Transport, mitochondrial"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.374196560306,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",182.386601848656,"Bile acid synthesis"
"H2Ot","H2O transport via diffusion",900,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-502.755023416877,"Fatty acid oxidation"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",137.53000091634,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.124732186769,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"ACONTm","Aconitate hydratase",-451.550637025517,"Citric acid cycle"
