"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",487.076911874674,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",540.223817168945,"Pentose phosphate pathway"
"HMR_0586","CDP-Diacylglycerol:Phosphatidylglycerol 3-Phosphatidyltransferase",2.00362218791839,"Glycerophospholipid metabolism"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",436.785308710655,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.26571893149152,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-864.981347599323,"Glycolysis/gluconeogenesis"
"ACONT","Aconitate hydratase",-762.655671229148,"Citric acid cycle"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",145.442980805459,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.90844698722463,"Nucleotide interconversion"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",900,"Pentose phosphate pathway"
"NDPK3m","ATP:CDP phosphotransferase, mitochondria",2.00362218791839,"Nucleotide interconversion"
"TPI","Triose-phosphate isomerase",409.282180218485,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",361.640634466924,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",8.77298732520489,"Bile acid synthesis"
"H2Ot","H2O transport via diffusion",1000,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-900,"Fatty acid oxidation"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",283.689642155851,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",120.546878155641,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"C181CRNt","C181 transport into the mitochondria",900,"Fatty acid oxidation"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",277.081512781586,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",1.2532839036007,"Transport, mitochondrial"
"CHAT","Choline O-acetyltransferase",1000,"Glycerophospholipid metabolism"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
"GLPASE1","Glycogen phosphorylase (glygn2 -> dxtrn)",120.546878155641,"Starch and sucrose metabolism"
"GAPD","Glyceraldehyde-3-phosphate dehydrogenase",1000,"Glycolysis/gluconeogenesis"
"ALR2","Aldose reductase (methylglyoxal)",183.572174083392,"Pyruvate metabolism"
"CGLYt3_2","Cys-Gly transport in via proton symport",200,"Transport, extracellular"
"D_LACt2","D lactate transport via proton symport",100,"Transport, extracellular"
"PGPPT","Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase",2.50444180153944,"Glycerophospholipid metabolism"
"2HBO","2 HydroxybutyrateNAD oxidoreductase",-1.2532839036007,"Propanoate metabolism"
"RE3273C_1","Phospholipase D",-280.587765677084,"Phosphatidylinositol phosphate metabolism"
"MTHFDm","Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial",762.655671229148,"Folate metabolism"
"TRDR","Thioredoxin reductase (NADPH)",137.390164670806,"Nucleotide interconversion"
"DURAD","Dihydrouracil dehydrogenase (NADP)",-487.076911874674,"Pyrimidine catabolism"
"PCm","Pyruvate carboxylase",153.095666554804,"Pyruvate metabolism"
"ABTArm","4-aminobutyrate transaminase, reversible (mitochondrial)",-1000,"Glutamate metabolism"
"GGTAe2","Gamma glutamyltransferase",100,"Glutathione metabolism"
"EX_etoh_e","Ethanol exchange",-73.9796034117226,"Exchange/demand reaction"
"ACALDtm","Acetaldehyde mitochondrial diffusion",-237.344328770853,"Transport, mitochondrial"
"FUMm","Fumarase  mitochondrial",508.104767417992,"Citric acid cycle"
"ADADir","Deoxycytidine kinase",184.02741446903,"Pyrimidine catabolism"
"SMS","Sphingomyelin synthase (homo sapiens)",3.00526141516049,"Sphingolipid metabolism"
"FUM","Fumarase",-1000,"Citric acid cycle"
"HMR_1321","HMR 1321",-557.340474979705,"Eicosanoid metabolism"
"GLCt1","Glucose transport  uniport",-365.678047317267,"Transport, extracellular"
"APAT2rm","3-Aminopropanoate:2-oxoglutarate aminotransferase (m)",487.076911874674,"Beta-Alanine metabolism"
"RE0926E","Alpha-Amylase",-300,"Starch and sucrose metabolism"
"3HPVSTEThc","3HPVSTEThc",64.6167229847375,"Drug metabolism"
"EX_phpyr_e","Exchange of Phenylpyruvate",-100,"Exchange/demand reaction"
"EX_o2s_e","Superoxide anion exchange",-100,"Exchange/demand reaction"
